 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00152884 / 0.0015288 | 0.010067 / -0.0100687 | -0.00245683 / 0.00245673 | 0.0136247 / -0.0136279 | -0.000259046 / 0.000259045 | -0.00798561 / 0.00798445 | -0.0153035 / 0.0152992 | 0.0776999 / -0.077788 | -0.0140049 / 0.0140013 | -0.010143 / 0.0101411 | -0.00632688 / 0.00632616 |
 | jvt | 0.00204241 / -0.00204244 | 0.00304031 / -0.00304037 | 0.00169056 / -0.00169058 | 0.00328039 / -0.00328046 | 0.00395248 / -0.00395258 | 0.00313987 / -0.00313993 | 0.00372729 / -0.00372738 | 0.00519736 / -0.00519754 | 0.00138393 / -0.00138395 | 0.00389797 / -0.00389808 | 0.00369479 / -0.00369488 |
 | EL_SF_Trigger | 0.000125494 / -0.000125494 | 0.000207312 / -0.000207312 | 0.000177204 / -0.000177204 | 8.78783e-05 / -8.78783e-05 | 0.000140049 / -0.000140049 | 0.000149407 / -0.000149408 | 0.00035523 / -0.00035523 | 0.00106331 / -0.00106332 | 0.000143318 / -0.000143318 | 9.3766e-05 / -9.37661e-05 | 0.000149547 / -0.000149547 |
 | EL_SF_Reco | 0.00240238 / -0.00240242 | 0.00244353 / -0.00244357 | 0.0025315 / -0.00253154 | 0.00124635 / -0.00124636 | 0.00221546 / -0.0022155 | 0.00244381 / -0.00244385 | 0.00493155 / -0.00493171 | 0.00392111 / -0.00392121 | 0.00236579 / -0.00236582 | 0.00284851 / -0.00284856 | 0.00249481 / -0.00249486 |
 | EL_SF_ID | 0.0140278 / -0.0140307 | 0.0151833 / -0.0151867 | 0.0142933 / -0.0142963 | 0.00703045 / -0.00703117 | 0.0127861 / -0.0127885 | 0.0140646 / -0.0140675 | 0.0298833 / -0.0298966 | 0.036165 / -0.0361846 | 0.0136483 / -0.0136511 | 0.0160856 / -0.0160894 | 0.0129267 / -0.0129292 |
 | EL_SF_Isol | 0.0184634 / -0.0184695 | 0.0147412 / -0.014745 | 0.0168198 / -0.0168248 | 0.010443 / -0.0104449 | 0.0153545 / -0.0153587 | 0.01695 / -0.0169551 | 0.0233424 / -0.0233521 | 0.0228913 / -0.0229007 | 0.0189623 / -0.0189687 | 0.0190876 / -0.0190941 | 0.0179568 / -0.0179625 |
 | MU_SF_Trigger_STAT | 0.000229597 / -0.000229597 | 0.000226455 / -0.000226456 | 0.000291321 / -0.000291322 | 0.000212297 / -0.000212297 | 0.000243491 / -0.000243491 | 0.000273527 / -0.000273528 | 0.000321952 / -0.000321952 | 2.91601e-05 / -2.91601e-05 | 0.000232738 / -0.000232738 | 0.000226047 / -0.000226047 | 0.000250535 / -0.000250535 |
 | MU_SF_Trigger_SYST | -0.000517092 / 0.00051709 | -0.000662321 / 0.000662318 | -0.000657214 / 0.000657212 | -0.000667811 / 0.000667808 | -0.000539762 / 0.00053976 | -0.000638814 / 0.000638811 | -0.000799393 / 0.000799389 | -0.00011787 / 0.00011787 | -0.000482832 / 0.000482831 | -0.000519912 / 0.00051991 | -0.000587824 / 0.000587821 |
 | MU_SF_ID_STAT | 0.000914946 / -0.000914951 | 0.00102766 / -0.00102767 | 0.000932496 / -0.000932501 | 0.00115914 / -0.00115914 | 0.000966296 / -0.000966302 | 0.000943871 / -0.000943877 | 0.000577243 / -0.000577245 | 0.000312058 / -0.000312059 | 0.000810318 / -0.000810322 | 0.000946251 / -0.000946257 | 0.000915453 / -0.000915458 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
