 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.0045307 / -0.00453106 | -0.00770441 / 0.00770333 | -0.00732501 / 0.00732404 | -0.0267829 / 0.0267693 | -0.0239388 / 0.023928 | -0.01774 / 0.0177341 | -0.0111777 / 0.0111755 | 0.074835 / -0.0749173 | -0.00417617 / 0.00417585 | 0.0159532 / -0.0159576 | -0.0128639 / 0.0128609 |
 | jvt | -0.0014153 / 0.00141528 | 0.000204887 / -0.000204888 | 0.000453456 / -0.000453458 | 0.0051552 / -0.00515538 | 0.000531114 / -0.000531116 | -0.00161505 / 0.00161504 | 0.00120879 / -0.0012088 | -0.0180769 / 0.0180747 | -8.38467e-05 / 8.38467e-05 | -0.00559614 / 0.00559593 | -0.00480385 / 0.0048037 |
 | EL_SF_Trigger | 0.000238215 / -0.000238216 | 0.000234849 / -0.000234849 | 0.000311287 / -0.000311287 | 0.000364805 / -0.000364805 | 0.000466954 / -0.000466956 | 0.000524004 / -0.000524006 | 0.000509245 / -0.000509246 | 0.000344495 / -0.000344496 | 0.000206859 / -0.000206859 | 0.000263234 / -0.000263234 | 0.000449431 / -0.000449433 |
 | EL_SF_Reco | 0.00310177 / -0.00310184 | 0.00283257 / -0.00283262 | 0.00319339 / -0.00319346 | 0.00360887 / -0.00360895 | 0.00392865 / -0.00392876 | 0.00469725 / -0.0046974 | 0.00425582 / -0.00425594 | 0.00616041 / -0.00616067 | 0.00296447 / -0.00296453 | 0.00360176 / -0.00360185 | 0.00343496 / -0.00343504 |
 | EL_SF_ID | 0.0178946 / -0.0178993 | 0.0161442 / -0.016148 | 0.0184829 / -0.018488 | 0.0208676 / -0.020874 | 0.0258189 / -0.0258288 | 0.0272605 / -0.0272716 | 0.0258358 / -0.0258457 | 0.0527493 / -0.0527916 | 0.0169915 / -0.0169957 | 0.0208878 / -0.0208942 | 0.0178477 / -0.0178524 |
 | EL_SF_Isol | 0.0212592 / -0.0212673 | 0.0215493 / -0.0215576 | 0.020182 / -0.0201892 | 0.0254607 / -0.0254723 | 0.0222945 / -0.0223034 | 0.0237452 / -0.0237553 | 0.0203788 / -0.0203862 | 0.0148383 / -0.0148422 | 0.0214799 / -0.0214881 | 0.0261373 / -0.0261495 | 0.0235572 / -0.0235671 |
 | MU_SF_Trigger_STAT | 0.000128829 / -0.00012883 | 0.000126212 / -0.000126212 | 0.000171317 / -0.000171317 | 4.81162e-05 / -4.81162e-05 | 0.000216146 / -0.000216146 | 0.000142041 / -0.000142041 | 0.000223118 / -0.000223119 | 9.96152e-05 / -9.96153e-05 | 9.96142e-05 / -9.96142e-05 | 8.41643e-05 / -8.41644e-05 | 0.000108169 / -0.00010817 |
 | MU_SF_Trigger_SYST | -0.000362817 / 0.000362816 | -0.000333843 / 0.000333842 | -0.000459477 / 0.000459476 | -0.000292454 / 0.000292453 | -0.000450485 / 0.000450483 | -0.0007994 / 0.000799396 | -0.000691037 / 0.000691033 | -0.00138641 / 0.0013864 | -0.000319244 / 0.000319244 | -0.000208157 / 0.000208157 | -0.000207048 / 0.000207048 |
 | MU_SF_ID_STAT | 0.00078762 / -0.000787624 | 0.000822925 / -0.00082293 | 0.000800243 / -0.000800247 | 0.000627162 / -0.000627164 | 0.000739372 / -0.000739375 | 0.000631913 / -0.000631915 | 0.000771306 / -0.00077131 | 0.000685404 / -0.000685407 | 0.000803724 / -0.000803728 | 0.000576324 / -0.000576326 | 0.00060198 / -0.000601983 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00288435 / -0.0028844 | 0.00319016 / -0.00319023 | 0.00265494 / -0.00265499 | 0.00278759 / -0.00278764 | 0.00263148 / -0.00263153 | 0.00174608 / -0.0017461 | 0.00225774 / -0.00225778 | 0.00382448 / -0.00382457 | 0.00345786 / -0.00345794 | 0.00241339 / -0.00241343 | 0.00186719 / -0.00186722 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00718122 / -0.00718156 | 0.00770183 / -0.00770222 | 0.00267749 / -0.00267754 | 0.00510947 / -0.00510964 | 0.00541911 / -0.0054193 | 0.00175559 / -0.00175561 | 0.00674421 / -0.00674451 | 0.00757733 / -0.00757771 | 0.00706119 / -0.00706151 | 0.00232351 / -0.00232355 | 0.00184862 / -0.00184864 |
